"county_name","confirmed_cases","deaths","total_pop","median_income","income_per_capita","poverty","employed_pop","bachelors_degree_or_higher_25_64","male_65_to_66","male_67_to_69","male_70_to_74","male_75_to_79","male_80_to_84","male_85_and_over","female_65_to_66","female_67_to_69","female_70_to_74","female_75_to_79","female_80_to_84","female_85_and_over","households","commuters_by_public_transportation","num_hospital"
"hansford",673,17,5532,40678,21989,1017,2394,399,73,49,119,109,18,24,31,91,97,118,52,77,1924,9,1
"stonewall",134,4,1084,46786,28063,143,442,74,6,35,41,4,51,21,13,31,26,18,21,16,458,0,1
"cochran",216,12,2932,37500,19195,717,1189,138,20,50,34,53,29,19,14,52,39,66,47,15,1000,7,1
"crockett",472,13,3836,52310,23296,787,1733,149,3,59,50,78,16,4,22,39,139,51,46,36,1411,0,NA
"mcculloch",467,12,8145,42367,23398,1296,3658,556,106,111,296,94,139,60,147,117,228,156,134,148,3143,2,1
"sherman",118,11,3067,54961,25358,448,1604,357,40,49,32,32,31,7,25,56,38,53,38,28,1063,7,1
"briscoe",114,3,1591,42500,23199,220,729,168,7,27,59,28,35,16,17,31,56,41,29,22,664,0,NA
"terry",1475,46,12755,42441,21938,1590,4556,814,76,131,261,184,62,82,225,101,257,146,242,139,4142,12,1
"cottle",176,7,1498,33534,20566,364,651,110,17,42,49,49,15,6,31,27,59,61,16,12,664,2,NA
"sutton",406,6,3894,60996,31603,251,1827,392,122,82,47,56,34,28,40,58,77,40,55,16,1573,0,1
"kimble",227,6,4432,41095,26982,965,2027,332,77,129,140,104,87,60,129,95,153,170,55,133,1941,0,1
"menard",180,5,2123,37917,23613,201,1014,125,19,29,112,62,45,27,21,75,97,59,8,24,964,0,NA
"jim hogg",494,11,5262,31403,17761,1353,1646,288,55,147,88,49,37,8,140,54,144,145,56,56,1587,19,NA
"crane",487,11,4836,63935,24582,551,2023,263,58,32,69,28,35,14,30,59,90,58,38,41,1479,34,1
"edwards",207,3,2111,48462,28968,147,888,224,52,86,45,88,30,3,48,29,142,33,32,13,634,0,1
"kinney",258,3,3631,34926,21395,354,1351,222,14,147,64,9,57,55,6,20,165,21,23,58,1200,16,NA
"winkler",639,15,7777,55000,23483,1378,3267,375,72,62,81,66,51,61,62,86,103,86,51,92,2524,0,1
"marion",401,20,10140,36938,25933,2225,3635,769,154,337,245,197,190,83,203,198,349,281,155,95,4457,0,33
"armstrong",128,6,1929,68750,31219,140,968,222,32,27,46,34,11,17,31,43,47,32,41,40,702,0,1
"san augustine",496,26,8403,32394,21066,1982,2493,347,61,228,285,159,130,83,127,255,243,215,99,172,3202,0,1
"brooks",685,29,7251,24794,13549,2781,2489,437,104,63,85,129,83,35,60,111,144,127,94,38,2022,1,1
"crosby",383,22,5895,38674,20057,1209,2519,353,90,74,93,103,57,27,73,74,153,123,56,92,2064,0,1
"somervell",883,8,8650,52346,27095,1805,3671,843,194,144,159,77,59,117,223,91,150,94,147,123,3234,12,1
"reagan",358,7,3735,59760,25273,667,1752,211,35,45,36,64,0,30,42,41,28,24,24,44,1171,0,1
"baylor",274,9,3602,36157,30820,458,1434,469,50,42,109,31,107,33,71,71,89,98,102,58,1644,0,1
"martin",569,18,5547,71115,28560,382,2527,495,27,98,83,30,61,49,28,81,74,50,46,46,1635,0,5
"san jacinto",634,21,27436,43421,22308,4679,10221,1043,408,412,845,503,439,88,283,638,793,662,256,255,9414,0,NA
"oldham",167,2,2083,62426,25461,170,776,214,32,15,40,35,12,9,24,20,45,25,21,9,581,0,1
"dickens",136,7,2224,43088,24171,345,747,182,25,33,62,76,36,15,41,51,79,37,38,9,832,2,NA
"mills",344,16,4887,46318,24858,703,2055,533,53,141,100,108,149,80,75,113,145,138,120,122,1833,0,NA
